setting,rep,gamma,method,changept
"Transition: Homo
Reward: PC",37,0.9,Normalised,70
"Transition: Homo
Reward: PC",37,0.9,Unnormalised,70
"Transition: Homo
Reward: PC",37,0.9,Integral,70
"Transition: Homo
Reward: PC",38,0.9,Normalised,50
"Transition: Homo
Reward: PC",38,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",38,0.9,Integral,50
"Transition: Homo
Reward: PC",39,0.9,Normalised,50
"Transition: Homo
Reward: PC",39,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",39,0.9,Integral,50
"Transition: Homo
Reward: PC",40,0.9,Normalised,50
"Transition: Homo
Reward: PC",40,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",40,0.9,Integral,50
"Transition: Homo
Reward: PC",41,0.9,Normalised,50
"Transition: Homo
Reward: PC",41,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",41,0.9,Integral,50
"Transition: Homo
Reward: PC",42,0.9,Normalised,50
"Transition: Homo
Reward: PC",42,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",42,0.9,Integral,50
"Transition: Homo
Reward: PC",43,0.9,Normalised,50
"Transition: Homo
Reward: PC",43,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",43,0.9,Integral,50
"Transition: Homo
Reward: PC",44,0.9,Normalised,50
"Transition: Homo
Reward: PC",44,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",44,0.9,Integral,50
"Transition: Homo
Reward: PC",45,0.9,Normalised,50
"Transition: Homo
Reward: PC",45,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",45,0.9,Integral,50
"Transition: Homo
Reward: PC",46,0.9,Normalised,50
"Transition: Homo
Reward: PC",46,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",46,0.9,Integral,50
"Transition: Homo
Reward: PC",47,0.9,Normalised,50
"Transition: Homo
Reward: PC",47,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",47,0.9,Integral,50
"Transition: Homo
Reward: PC",48,0.9,Normalised,50
"Transition: Homo
Reward: PC",48,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",48,0.9,Integral,50
"Transition: Homo
Reward: PC",49,0.9,Normalised,50
"Transition: Homo
Reward: PC",49,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",49,0.9,Integral,50
"Transition: Homo
Reward: PC",50,0.9,Normalised,50
"Transition: Homo
Reward: PC",50,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",50,0.9,Integral,50
"Transition: Homo
Reward: PC",51,0.9,Normalised,50
"Transition: Homo
Reward: PC",51,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",51,0.9,Integral,50
"Transition: Homo
Reward: PC",52,0.9,Normalised,50
"Transition: Homo
Reward: PC",52,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",52,0.9,Integral,50
"Transition: Homo
Reward: PC",53,0.9,Normalised,50
"Transition: Homo
Reward: PC",53,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",53,0.9,Integral,50
"Transition: Homo
Reward: PC",54,0.9,Normalised,50
"Transition: Homo
Reward: PC",54,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",54,0.9,Integral,50
"Transition: Homo
Reward: PC",55,0.9,Normalised,50
"Transition: Homo
Reward: PC",55,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",55,0.9,Integral,50
"Transition: Homo
Reward: PC",56,0.9,Normalised,50
"Transition: Homo
Reward: PC",56,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",56,0.9,Integral,50
"Transition: Homo
Reward: PC",57,0.9,Normalised,50
"Transition: Homo
Reward: PC",57,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",57,0.9,Integral,50
"Transition: Homo
Reward: PC",58,0.9,Normalised,50
"Transition: Homo
Reward: PC",58,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",58,0.9,Integral,50
"Transition: Homo
Reward: PC",59,0.9,Normalised,50
"Transition: Homo
Reward: PC",59,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",59,0.9,Integral,50
"Transition: Homo
Reward: PC",60,0.9,Normalised,50
"Transition: Homo
Reward: PC",60,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",60,0.9,Integral,50
"Transition: Homo
Reward: PC",61,0.9,Normalised,50
"Transition: Homo
Reward: PC",61,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",61,0.9,Integral,50
"Transition: Homo
Reward: PC",62,0.9,Normalised,50
"Transition: Homo
Reward: PC",62,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",62,0.9,Integral,50
"Transition: Homo
Reward: PC",63,0.9,Normalised,50
"Transition: Homo
Reward: PC",63,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",63,0.9,Integral,50
"Transition: Homo
Reward: PC",64,0.9,Normalised,50
"Transition: Homo
Reward: PC",64,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",64,0.9,Integral,50
"Transition: Homo
Reward: PC",65,0.9,Normalised,50
"Transition: Homo
Reward: PC",65,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",65,0.9,Integral,50
"Transition: Homo
Reward: PC",66,0.9,Normalised,50
"Transition: Homo
Reward: PC",66,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",66,0.9,Integral,50
"Transition: Homo
Reward: PC",67,0.9,Normalised,50
"Transition: Homo
Reward: PC",67,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",67,0.9,Integral,50
"Transition: Homo
Reward: PC",68,0.9,Normalised,50
"Transition: Homo
Reward: PC",68,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",68,0.9,Integral,50
"Transition: Homo
Reward: PC",69,0.9,Normalised,50
"Transition: Homo
Reward: PC",69,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",69,0.9,Integral,50
"Transition: Homo
Reward: PC",70,0.9,Normalised,50
"Transition: Homo
Reward: PC",70,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",70,0.9,Integral,50
"Transition: Homo
Reward: PC",71,0.9,Normalised,50
"Transition: Homo
Reward: PC",71,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",71,0.9,Integral,50
"Transition: Homo
Reward: PC",72,0.9,Normalised,50
"Transition: Homo
Reward: PC",72,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",72,0.9,Integral,50
"Transition: Homo
Reward: PC",73,0.9,Normalised,50
"Transition: Homo
Reward: PC",73,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",73,0.9,Integral,50
"Transition: Homo
Reward: PC",74,0.9,Normalised,50
"Transition: Homo
Reward: PC",74,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",74,0.9,Integral,50
"Transition: Homo
Reward: PC",75,0.9,Normalised,50
"Transition: Homo
Reward: PC",75,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",75,0.9,Integral,50
"Transition: Homo
Reward: PC",76,0.9,Normalised,50
"Transition: Homo
Reward: PC",76,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",76,0.9,Integral,50
"Transition: Homo
Reward: PC",77,0.9,Normalised,50
"Transition: Homo
Reward: PC",77,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",77,0.9,Integral,50
"Transition: Homo
Reward: PC",78,0.9,Normalised,50
"Transition: Homo
Reward: PC",78,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",78,0.9,Integral,50
"Transition: Homo
Reward: PC",79,0.9,Normalised,50
"Transition: Homo
Reward: PC",79,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",79,0.9,Integral,50
"Transition: Homo
Reward: PC",80,0.9,Normalised,50
"Transition: Homo
Reward: PC",80,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",80,0.9,Integral,50
"Transition: Homo
Reward: PC",81,0.9,Normalised,50
"Transition: Homo
Reward: PC",81,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",81,0.9,Integral,50
"Transition: Homo
Reward: PC",82,0.9,Normalised,50
"Transition: Homo
Reward: PC",82,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",82,0.9,Integral,50
"Transition: Homo
Reward: PC",83,0.9,Normalised,50
"Transition: Homo
Reward: PC",83,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",83,0.9,Integral,50
"Transition: Homo
Reward: PC",84,0.9,Normalised,50
"Transition: Homo
Reward: PC",84,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",84,0.9,Integral,50
"Transition: Homo
Reward: PC",85,0.9,Normalised,50
"Transition: Homo
Reward: PC",85,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",85,0.9,Integral,50
"Transition: Homo
Reward: PC",86,0.9,Normalised,50
"Transition: Homo
Reward: PC",86,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",86,0.9,Integral,50
"Transition: Homo
Reward: PC",87,0.9,Normalised,50
"Transition: Homo
Reward: PC",87,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",87,0.9,Integral,50
"Transition: Homo
Reward: PC",88,0.9,Normalised,50
"Transition: Homo
Reward: PC",88,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",88,0.9,Integral,50
"Transition: Homo
Reward: PC",89,0.9,Normalised,50
"Transition: Homo
Reward: PC",89,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",89,0.9,Integral,50
"Transition: Homo
Reward: PC",90,0.9,Normalised,50
"Transition: Homo
Reward: PC",90,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",90,0.9,Integral,50
"Transition: Homo
Reward: PC",91,0.9,Normalised,75
"Transition: Homo
Reward: PC",91,0.9,Unnormalised,75
"Transition: Homo
Reward: PC",91,0.9,Integral,75
"Transition: Homo
Reward: PC",92,0.9,Normalised,50
"Transition: Homo
Reward: PC",92,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",92,0.9,Integral,50
"Transition: Homo
Reward: PC",93,0.9,Normalised,50
"Transition: Homo
Reward: PC",93,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",93,0.9,Integral,50
"Transition: Homo
Reward: PC",94,0.9,Normalised,50
"Transition: Homo
Reward: PC",94,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",94,0.9,Integral,50
"Transition: Homo
Reward: PC",95,0.9,Normalised,50
"Transition: Homo
Reward: PC",95,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",95,0.9,Integral,50
"Transition: Homo
Reward: PC",96,0.9,Normalised,50
"Transition: Homo
Reward: PC",96,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",96,0.9,Integral,50
"Transition: Homo
Reward: PC",97,0.9,Normalised,50
"Transition: Homo
Reward: PC",97,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",97,0.9,Integral,50
"Transition: Homo
Reward: PC",98,0.9,Normalised,50
